,entidad_cvegeo,State,municipio_cvegeo,Municipality,Population,Male,Female,60 and older,60 and older males,60 and older females,65 and older,Non-spanish speakers,Disabled,Inhabited households,Dwellers per household,Dwellers per room,Households with automobile,Índice de rezago social,Poverty,Extreme poverty,Moderate poverty,Vulnerable (social lacks),Vulnerable (Income),Not poor nor vulnerable,Educational lag,Health access lag,Social security lag,Household characteristics lag,Basic services lag,Alimentary lag,At least one lag,At least three lags,People under wellness line,People under minnimum wellness line,Beds in public hospitals per (state) habitant,Beds in private hospitals per (state) habitant,Number of public hospitals per (state) habitant,People with hypertension,People with diabetes,People with obesity
0,01,Aguascalientes,01001,Aguascalientes,948990.0,0.4869102941021507,0.5130897058978493,0.10852274523440711,0.04874972339013056,0.05977302184427655,0.07159295672241014,8.430015068651936e-06,0.0500795582672104,266778.0,3.54,0.84,0.6360869337051781,-1.31532,26.1,1.6,24.5,26.4,11.5,0.4561933534743202,11.7,15.1,36.4,3.7,3.0,18.0,52.6,7.3,37.6,10.0,0.9594610778443113,0.9930912596401028,0.9814814814814815,14.94224242536272,7.495860721276037,31.486540869542733
1,01,Aguascalientes,01002,Asientos,51536.0,0.4901622167028873,0.5098377832971127,0.09114017385904999,0.04426032288109283,0.04687985097795715,0.06463443030114871,0.0,0.05599968953741074,12542.0,4.1,1.07,0.5293414128528146,-0.857301,54.0,4.4,49.5,29.0,7.7,0.8595166163141994,19.8,6.0,69.0,7.8,16.2,24.7,83.0,14.1,61.7,24.4,0.9594610778443113,0.9930912596401028,0.9814814814814815,15.320424996440655,7.953634055224973,32.28228424466143
2,01,Aguascalientes,01003,Calvillo,58250.0,0.4903519313304721,0.5096480686695279,0.13440343347639486,0.06496137339055794,0.0694420600858369,0.0968412017167382,1.7167381974248926e-05,0.07018025751072961,15546.0,3.74,0.97,0.5809854624983919,-0.918554,56.8,3.1,53.6,27.6,6.3,0.8595166163141994,23.2,9.9,73.6,5.2,7.7,17.3,84.3,10.5,63.1,26.8,0.9594610778443113,0.9930912596401028,0.9814814814814815,13.751906441825415,9.17262388925593,40.00429343772855
3,01,Aguascalientes,01004,Cosío,17000.0,0.48776470588235293,0.512235294117647,0.09488235294117647,0.04570588235294118,0.049176470588235294,0.06576470588235295,0.0,0.04735294117647059,3937.0,4.32,1.14,0.5372110744221489,-1.004023,43.2,2.8,40.4,32.7,8.0,0.756797583081571,14.7,5.5,62.7,7.9,7.6,20.7,75.9,9.9,51.2,16.6,0.9594610778443113,0.9930912596401028,0.9814814814814815,16.43149302616921,7.383116472450958,32.59644964812264
4,01,Aguascalientes,01005,Jesús María,129929.0,0.4942622509216572,0.5057377490783428,0.07554125714813476,0.036273657151213355,0.03926759999692139,0.05031979003917524,7.696511171485966e-06,0.03875963025960332,33214.0,3.91,0.95,0.6755584994279521,-1.173361,25.0,1.7,23.4,38.0,6.6,0.542296072507553,17.3,15.2,45.0,8.2,6.3,18.7,63.1,11.3,31.6,7.9,0.9594610778443113,0.9930912596401028,0.9814814814814815,12.356755466214269,6.745818679991173,34.73171538468336
5,01,Aguascalientes,01006,Pabellón de Arteaga,47646.0,0.490639298157243,0.509360701842757,0.09404776896276708,0.043970112916089495,0.050077656046677584,0.06248163539436679,0.0,0.055072828778911134,11456.0,4.15,1.0,0.5873777932960894,-1.168755,34.9,2.2,32.7,30.2,10.5,0.6314199395770392,15.3,10.5,49.8,5.8,5.8,19.4,65.1,9.2,45.5,13.8,0.9594610778443113,0.9930912596401028,0.9814814814814815,12.840819228947888,7.382441375366413,24.057538149950084
6,01,Aguascalientes,01007,Rincón de Romos,57369.0,0.4898290017256707,0.5101709982743293,0.09175687217835417,0.043577541878017746,0.04817933030033642,0.062385608952570205,1.7431016751207097e-05,0.05792326866426119,13572.0,4.22,1.06,0.5590922487474211,-1.065487,50.1,3.3,46.8,23.2,9.9,0.7462235649546828,14.6,10.3,60.8,7.8,7.7,22.7,73.3,10.6,59.9,22.9,0.9594610778443113,0.9930912596401028,0.9814814814814815,14.33667404022898,6.895364594781293,31.74328816356314
7,01,Aguascalientes,01008,San José de Gracia,9552.0,0.47445561139028475,0.5255443886097152,0.10008375209380234,0.04826214405360134,0.05182160804020101,0.07129396984924623,0.0,0.05956867671691792,2381.0,4.01,0.99,0.6043679126417472,-0.956906,59.6,5.3,54.3,22.2,4.4,0.7915407854984894,15.3,5.2,74.7,6.8,8.6,20.9,81.8,10.1,64.1,28.2,0.9594610778443113,0.9930912596401028,0.9814814814814815,14.919707852003144,6.161850888449476,31.3042415442112
8,01,Aguascalientes,01009,Tepezalá,22485.0,0.4942850789415166,0.5057149210584835,0.09597509450744941,0.04660885034467423,0.049366244162775186,0.06964643095396932,0.0,0.0472759617522793,5422.0,4.14,1.08,0.518258945038731,-0.900102,50.7,3.1,47.5,31.2,7.1,0.8323262839879154,20.8,8.3,68.2,6.1,10.5,21.4,81.9,11.2,57.7,21.0,0.9594610778443113,0.9930912596401028,0.9814814814814815,14.694738844636548,7.242454178043286,31.953581052365003
9,01,Aguascalientes,01010,El Llano,20853.0,0.5009351172493166,0.49906488275068334,0.09533400469956362,0.04752313815757925,0.04781086654198437,0.0667529851819882,0.0,0.054716347767707285,5210.0,3.91,1.05,0.5669865642994242,-0.829259,55.1,5.3,49.7,26.0,8.2,0.8368580060422961,19.7,9.1,63.8,8.2,17.1,24.8,81.0,14.4,63.2,26.3,0.9594610778443113,0.9930912596401028,0.9814814814814815,16.55212130102922,7.6496996266396176,35.057078571741044
